,$\gamma^\mathrm{risk}$,$\gamma^\mathrm{trade}$,$\gamma^\mathrm{hold}$,Return,Risk,is_pareto
355,178,10,0.1,10.893,3.01604,False
356,178,10,1,10.8885,3.0142,False
357,56,11,100,6.94986,2.99059,False
358,56,11,1000,6.94098,2.99011,False
359,300,7,10,12.0673,2.97584,True
360,316,7,0.1,11.9527,2.96987,False
361,316,7,1,11.9559,2.96948,True
362,316,7,10,11.8864,2.92164,True
363,178,11,0.1,9.69865,2.9009,False
364,178,11,1,9.701,2.8978,False
365,178,10,10,10.9723,2.88571,False
366,300,8,0.1,11.4168,2.8704,True
367,300,8,1,11.4111,2.86846,True
368,316,8,0.1,11.238,2.82741,False
369,316,8,1,11.2314,2.82541,False
370,56,12,100,6.39654,2.81885,False
371,56,12,1000,6.39001,2.81865,False
372,178,12,0.1,8.65906,2.8113,False
373,178,12,1,8.6621,2.80775,False
374,300,8,10,11.3215,2.77535,True
375,300,9,0.1,10.373,2.73069,False
376,300,9,1,10.3675,2.72845,False
377,316,8,10,11.1354,2.71753,True
378,316,9,0.1,10.1997,2.69053,False
379,316,9,1,10.1959,2.68808,False
380,178,11,10,9.82841,2.66059,False
381,300,10,0.1,9.30061,2.60831,False
382,300,10,1,9.30071,2.60474,False
383,316,10,0.1,9.13417,2.57052,False
384,316,10,1,9.13217,2.56667,False
385,300,9,10,10.3573,2.53995,True
386,100,7,100,6.53449,2.51191,False
387,300,11,0.1,8.2183,2.50824,False
388,100,7,1000,6.41263,2.50607,False
389,300,11,1,8.22163,2.50157,False
390,562,7,0.1,10.0753,2.49194,False
391,562,7,1,10.0714,2.48763,False
392,316,9,10,10.1966,2.48026,True
393,316,11,0.1,8.06688,2.47189,False
394,316,11,1,8.07573,2.46364,False
395,178,12,10,8.86357,2.43874,False
396,300,12,0.1,7.29686,2.42039,False
397,300,12,1,7.30881,2.40482,False
398,316,12,0.1,7.16509,2.38254,False
399,562,8,0.1,9.27795,2.3774,False
400,562,8,1,9.27529,2.36831,False
401,316,12,1,7.16234,2.36543,False
402,100,8,100,6.10319,2.33758,False
403,100,8,1000,6.03638,2.33424,False
404,300,10,10,9.4333,2.30753,False
405,562,9,0.1,8.31264,2.26045,False
406,316,10,10,9.28916,2.24896,False
407,562,9,1,8.33037,2.24383,False
408,562,7,10,9.87502,2.24186,True
409,100,9,100,5.67096,2.18614,False
410,100,9,1000,5.63024,2.1843,False
411,562,10,0.1,7.39424,2.14712,False
412,562,10,1,7.41973,2.11655,False
413,300,11,10,8.54161,2.08618,False
414,100,10,100,5.25015,2.05433,False
415,100,10,1000,5.22348,2.05328,False
416,562,11,0.1,6.54071,2.03013,False
417,316,11,10,8.39726,2.02944,False
418,562,8,10,9.23073,2.0137,True
419,562,11,1,6.61876,1.98641,False
420,1000,7,0.1,8.23407,1.9621,False
421,100,11,100,4.87486,1.93626,False
422,100,11,1000,4.85599,1.93577,False
